,nbo words,nbo word count,review words,review word count,descrip words,descrip word count
183,"metro,",76,getting,156,capital,233
184,harris,76,nights,156,rooms,229
185,bar,75,cozy,156,bathroom.,227
186,area.,74,absolutely,156,"bars,",227
187,hidden,74,downtown,156,sized,226
188,east,74,looking,154,condo,226
189,morgan,74,hope,154,white,224
190,nice,73,small,154,"park,",224
191,pizza,73,union,154,stop,224
192,u.s.,73,food,153,space.,223
193,airbnb),73,metro.,153,convenient,223
194,convenient,73,matt,152,outdoor,222
195,guests,73,etc.,151,good,218
196,three,72,local,151,may,215
197,stops,70,block,151,brand,215
198,walkable,70,stop,149,you’ll,215
199,plenty,70,warm,148,library,214
200,zoo,70,"restaurants,",148,friendly,212
201,hill.,70,grocery,148,"house,",211
202,congress,69,whole,147,"microwave,",209
203,tree-lined,68,take,147,15,208
204,district,68,clean.,147,patio,208
205,homes,67,et,144,guests.,207
206,1,67,accommodating,143,across,206
207,unique,67,city.,142,top,206
208,offers,67,return,142,additional,206
209,view,67,help,141,"mall,",206
210,yard,66,meet,141,cable,203
211,quick,66,subway,140,14th,203
212,want,66,using,140,find,201
213,"target,",66,national,140,available.,200
214,even,66,carriage,140,adams,199
215,howard,66,gracious,138,stops,198
216,"congress,",66,pleasant,138,come,198
217,green,65,experience.,137,barracks,197
218,commercial,65,there.,137,wifi,195
219,good,65,questions,136,"shops,",195
220,farmers,64,needed.,135,6,195
221,nw,64,friends,135,dryer,192
222,favorite,64,teresa,135,station.,192
223,need,64,"metro,",134,"tv,",192
224,urban,64,full,133,yard,191
225,little,63,large,133,closet,191
226,"museums,",63,love,132,ride,190
227,mt.,63,living,132,safe,190
228,upshur,62,helped,131,kitchen.,189
229,mix,62,quick,130,shops,189
230,attractions,62,stocked,130,georgia,188
231,south,60,"stay,",128,restaurants.,188
232,neighbors,60,work,128,check,187
233,bars.,60,4,128,outside,187
234,young,60,husband,128,door,187
235,much,60,washington.,128,day,187
236,wonderful,60,met,127,"street,",186
237,easily,60,away.,127,bright,185
238,"court,",60,suite,127,"hill,",184
239,pennsylvania,60,came,126,want,183
240,16th,59,10,126,property,182
241,go,59,town,126,bed.,181
242,we're,59,though,126,dc's,181
243,famous,59,far,125,mattress,181
244,major,59,hotel,125,happy,180
245,old,59,time.,125,time,180
246,metro.,58,très,124,take,179
247,it’s,58,know,124,twin,177
248,residents,58,responsive,124,common,174
249,"morgan,",58,late,124,natural,174
250,next,58,robin,124,hill.,174
251,cleveland,58,nearby,123,work,173
252,brookland,58,long,123,always,172
253,potomac,58,"nice,",123,park.,171
254,20,57,well.,122,mile,171
255,d.c.,57,park,122,shopping,171
256,"away,",57,it.,121,union,171
257,include,57,"place,",121,recently,170
258,--,57,especially,121,navy,170
259,top,57,new,121,smithsonian,169
260,north,56,"apartment,",121,"neighborhood,",169
261,4,56,bike,120,people,168
262,parking,56,joel,120,nice,168
