,review words,review word count
446,water,69
447,"also,",69
448,outside,69
449,thing,69
450,street.,69
451,shops,69
452,apt,69
453,tourist,68
454,fresh,68
455,top,68
456,described,68
457,"kitchen,",68
458,le,68
459,wife,67
460,"home,",67
461,bars,67
462,sights,67
463,truly,67
464,attentive,67
465,internet,67
466,1,67
467,floor,66
468,may,66
469,traveling,66
470,arrival.,66
471,liz,66
472,quiet.,66
473,need.,66
474,nick,66
475,advice,65
476,spot,65
477,liked,65
478,"beautiful,",65
479,town.,64
480,them.,64
481,welcomed,64
482,people.,64
483,shower,64
484,mall.,64
485,cute,64
486,almost,64
487,out.,64
488,five,64
489,via,64
490,"all,",64
491,circle,64
492,un,64
493,stops,64
494,think,64
495,share,63
496,person,63
497,in.,63
498,line,63
499,perfectly,63
500,charlotte,63
501,visit.,63
502,cat,63
503,nat,63
504,max,63
505,forward,62
506,welcoming.,62
507,less,62
508,conference,62
509,along,62
510,marina,62
511,busy,61
512,useful,61
513,family.,61
514,rental,61
515,wish,61
516,accommodations,61
517,sleep,61
518,it!,61
519,nearby.,61
520,business,61
521,flexible,61
522,entrance,61
523,responded,61
524,pass,61
525,daughter,60
526,slept,60
527,kept,60
528,everything.,60
529,huge,60
530,directions,59
531,around.,59
532,privacy,59
533,"there,",59
534,takes,59
535,restaurant,59
536,"helpful,",59
537,we'd,59
538,i've,58
539,transport,58
540,leave,58
541,times,58
542,problems,58
543,needs.,58
544,recommended.,58
545,thoughtful,58
546,"us,",58
547,son,58
548,towels,57
549,"again,",57
550,beds,57
551,throughout,57
552,easy.,57
553,second,57
554,totally,57
555,studio,57
556,provide,56
557,pour,56
558,adams,56
559,upon,56
560,ready,56
561,central,56
562,dining,56
563,reid,56
564,info,55
565,generous,55
566,thoroughly,55
567,try,55
568,me.,55
569,property,55
570,bed.,55
571,future,55
572,beautifully,55
573,sakhi,55
574,charming,54
575,"lovely,",54
576,ask,54
577,entire,54
578,shopping,54
579,nothing,54
580,"cozy,",54
581,reed,54
582,more.,53
583,with.,53
584,i'll,53
585,u,53
586,fabulous,53
587,sweet,53
588,building,53
589,buses,52
590,attractions,52
591,evening,52
592,chance,52
593,talk,52
594,said,52
595,dryer,52
596,cook,52
597,picked,52
598,answered,52
599,open,52
600,hospitality,51
601,furnished,51
602,sightseeing,51
603,cards,51
604,red,51
605,safe.,51
606,booking,51
607,modern,51
608,columbia,51
609,else,50
610,contact,50
611,anyone.,50
612,hotel.,50
613,already,50
614,questions.,50
615,old,50
616,meeting,50
617,accommodation,50
618,detailed,50
619,recommendations,50
620,georgetown,50
621,check-in,50
622,desiree,50
623,tony,50
624,phone,49
625,yet,49
626,wine,49
627,bikeshare,49
628,value,49
629,pleased,49
630,key,49
631,foods,49
632,put,49
633,recommended!,49
634,bathroom.,49
635,allowed,49
636,checked,49
637,hosts!,48
638,shared,48
639,immediately,48
640,"warm,",48
641,vita,48
642,tea,48
643,decorated,48
644,residential,48
645,drove,48
646,"accommodating,",48
647,clear,48
648,"however,",48
649,"coffee,",48
650,beyond,47
651,cooking,47
652,providing,47
653,tour,47
654,wonderful.,47
655,explore,47
656,hesitate,47
657,arrived.,47
658,all.,47
659,drive,47
660,different,47
661,better.,47
662,keep,47
663,group,47
664,actually,47
665,sofa,47
666,heart,47
667,deon,47
668,due,46
669,back.,46
670,prepared,46
671,"street,",46
672,checking,46
673,steps,46
674,larry,46
675,"space,",45
676,airport,45
677,rest,45
678,airbnb),45
679,appartment,45
680,"tv,",45
681,photos,45
682,noise,45
683,apt.,45
684,fine,45
685,answer,45
686,"welcoming,",44
687,delicious,44
688,convention,44
689,enjoyable,44
690,dinner,44
691,walk.,44
692,taxi,44
693,working,44
694,downtown.,44
695,much.,44
696,everyone,44
697,neat,44
698,bien,44
699,wayne,44
700,gorgeous,43
701,rented,43
702,airbnb.,43
703,showed,43
704,accessible,43
705,issues,43
706,recommend.,43
707,situated,43
708,touch,43
709,saw,43
710,stores,43
711,les,43
712,rock,43
713,email,43
714,system,43
715,loft,43
716,heights,43
717,micha,43
718,rent,42
719,relax,42
720,something,42
721,looks,42
722,"night,",42
723,major,42
724,booked,42
725,sent,42
726,seemed,42
727,kitchen.,42
728,live,42
729,"perfect,",42
730,reservation,42
731,"safe,",42
732,anywhere,42
733,"towels,",42
734,jen,42
735,teresa's,42
736,joel's,42
737,(which,41
738,"bathroom,",41
739,touches,41
740,done,41
741,start,41
742,pick,41
743,supermarket,41
744,guests.,41
745,corner.,41
746,price,41
747,hospitable,41
748,perfect!,41
749,longer,41
750,items,41
751,rose,41
752,hard,40
753,"time,",40
754,facilities,40
755,6,40
756,fact,40
757,hours,40
758,call,40
759,minutes.,40
760,service,40
761,leaving,40
762,probably,40
763,separate,40
764,here!,40
765,robin's,40
766,days.,39
767,future.,39
768,told,39
769,glad,39
770,base,39
771,willing,39
772,transportation.,39
773,centre,39
774,"away,",39
775,james,39
776,daryl,39
777,mark,39
778,bottle,38
779,deal,38
780,cannot,38
781,hidden,38
782,completely,38
783,delightful,38
784,offer,38
785,size,38
786,attractions.,38
787,spacious.,38
788,that's,38
789,finding,38
790,experience!,38
791,"milk,",38
792,weeks,38
793,closet,38
794,handy,38
795,provides,38
796,we'll,38
797,museums,38
798,morning.,37
799,issue,37
800,someone,37
801,"city,",37
802,ended,37
803,rather,37
804,private.,37
805,personal,37
806,"people,",37
807,bath,37
808,"airbnb,",37
809,creek,37
810,"decorated,",37
811,half,37
812,complete,37
813,jim,37
814,roya,37
815,"arrived,",36
816,cozy.,36
817,nights.,36
818,consider,36
819,prior,36
820,options,36
821,case,36
822,"convenient,",36
823,upstairs,36
824,adults,36
825,to.,36
826,cable,36
827,seeing,36
828,terrific,36
829,cab,36
830,erin,36
831,organic,36
832,appointed,36
833,neighbourhood.,35
834,trouble,35
835,"mall,",35
836,lovely.,35
837,you.,35
838,respond,35
839,appreciated.,35
840,prompt,35
841,bnb,35
842,list,35
843,breakfast.,35
844,weather,35
845,rooms,35
846,whenever,35
847,waiting,35
848,privacy.,35
849,exploring,34
850,(website,34
851,(the,34
852,boyfriend,34
853,worth,34
854,pleasant.,34
855,washer/dryer,34
856,comfortably,34
857,knew,34
858,bring,34
859,fine.,34
860,"food,",34
861,machine,34
862,welcome.,34
863,tidy,34
864,tell,34
865,feels,34
866,dans,33
867,either,33
868,"day,",33
869,children,33
870,hostess,33
871,nearest,33
872,self,33
873,literally,33
874,que,33
875,(we,33
876,"town,",33
877,regarding,33
878,month,33
879,milk,33
880,une,33
881,dennis,33
882,centrally,33
883,fast,33
884,permit,33
885,despite,32
886,"bars,",32
887,given,32
888,organized,32
889,planning,32
890,friends.,32
891,simple,32
892,bad,32
893,others,32
894,available.,32
895,inside,32
896,thanks!,32
897,called,32
898,sleeping,32
899,possible.,32
900,hospitality.,32
901,comes,32
902,il,32
903,washing,32
904,gets,32
905,text,32
906,view,32
907,detail,32
908,important,32
909,pictures.,32
910,high,32
911,map,31
912,morgan,31
913,art,31
914,money,31
915,catch,31
916,time!,31
917,must,31
918,choice,31
919,taking,31
920,"in,",31
921,simply,31
922,owner,31
923,mention,31
924,show,31
925,year,31
926,special,31
927,bright,31
928,"me,",31
929,one.,31
930,natural,31
931,excellent.,31
932,everywhere,31
933,relaxing,31
934,"experience,",31
935,vacation,31
936,feeling,31
937,table,31
938,amazing!,31
939,nat's,31
940,knowledgeable,30
941,capitol.,30
942,filled,30
943,"stores,",30
944,taken,30
945,mile,30
946,comfort,30
947,possible,30
948,reasonable,30
949,secure,30
950,process,30
951,"shops,",30
952,mind,30
953,books,30
954,beautiful.,30
955,"out,",30
956,definately,30
957,"fruit,",30
958,und,30
959,tons,29
960,choose,29
961,"here,",29
962,for.,29
963,flight,29
964,historic,29
965,convenience,29
966,had.,29
967,described.,29
968,difficult,29
969,accommodate,29
970,giving,29
971,:-),29
972,him.,29
973,wait,29
974,however,29
975,shop,29
976,fairly,29
977,"maps,",29
978,we're,29
979,home!,29
980,provided.,29
981,walkable,29
982,located.,29
983,canceled,29
984,"modern,",29
985,h,29
986,"and,",29
987,use.,29
988,good.,29
989,hang,29
990,couch,29
991,park.,29
992,way.,29
993,brought,29
994,advertised.,29
995,fruit,29
996,(i,28
997,...,28
998,"private,",28
999,incredible,28
1000,directly,28
1001,goes,28
1002,run,28
1003,row,28
1004,soon,28
1005,bus.,28
1006,back!,28
1007,greeted,28
1008,instead,28
1009,added,28
1010,car.,28
1011,description,28
1012,fantastic.,28
1013,(a,28
1014,possibly,28
1015,areas,28
1016,keys,28
1017,he's,28
1018,sites,28
1019,job,28
1020,communicate,28
1021,14th,28
1022,offers,28
1023,dogs,28
1024,attention,28
1025,suite.,28
1026,bikes,28
1027,decorated.,27
1028,system.,27
1029,unfortunately,27
1030,guide,27
1031,"museums,",27
1032,person.,27
1033,recently,27
1034,hour,27
1035,30,27
1036,ensure,27
1037,running,27
1038,watch,27
1039,surprised,27
1040,"it,",27
1041,basic,27
1042,nicer,27
1043,"good,",27
1044,strongly,27
1045,automated,27
1046,posting.,27
1047,number,27
1048,life,27
1049,"around,",27
1050,door.,27
1051,cvs,27
1052,up.,27
1053,"needed,",27
1054,necessary,27
1055,mattress,27
1056,luggage,27
