,0,1
439,lower,104
440,silver,104
441,fresh,104
442,screen,104
443,listing,104
444,little,104
445,gorgeous,104
446,self,104
447,complete,103
448,much,103
449,neighborhoods,103
450,top-notch,103
451,anacostia,103
452,person,102
453,double,102
454,cooking,102
455,provides,102
456,brick,102
457,cleaning,102
458,visiting,101
459,7,101
460,let,101
461,throughout,101
462,stores,101
463,"congress,",101
464,sunny,100
465,amazing,100
466,food,100
467,staying,100
468,there's,99
469,old,99
470,steel,99
471,classic,99
472,victorian,99
473,30,98
474,south,98
475,"dining,",98
476,provided.,98
477,"coffee,",98
478,museums.,97
479,nw,97
480,host,97
481,comfort,97
482,tv.,97
483,huge,96
484,"washer/dryer,",96
485,pass,96
486,heights.,96
487,"clean,",96
488,mount,96
489,spot,96
490,market.,96
491,"court,",96
492,answer,95
493,ceiling,95
494,morgan,95
495,needed.,95
496,situated,95
497,foam,95
498,part,95
499,towels,95
500,"beds,",94
501,"adventurers,",94
502,organic,94
503,distance.,94
504,art,93
505,visit,93
506,unit.,93
507,"building,",93
508,howard,92
509,anything,92
510,homes,92
511,tree-lined,91
512,garage,91
513,options,91
514,code,90
515,porch,89
516,travelers.,89
517,capitol.,89
518,travel,89
519,"zoo,",89
520,mt.,89
521,internet,89
522,permit,89
523,mattresses,89
524,granite,89
525,rest,88
526,travelers,88
527,tons,88
528,teeter,88
529,tourist,87
530,sleeper,87
531,nationals,87
532,"maker,",86
533,"netflix,",86
534,group,86
535,light.,86
536,use.,86
537,walkable,85
538,lock,85
539,"parking,",85
540,"fridge,",85
541,.,85
542,premium,85
543,rooftop,85
544,nation's,85
545,excellent,84
546,email,84
547,"desk,",84
548,downtown.,84
549,"dryer,",84
550,walk.,84
551,set,84
552,attractions,84
553,exposed,84
554,nightlife,84
555,desk,83
556,"renovated,",83
557,third,83
558,"location,",83
559,people.,83
560,stations,83
561,location.,83
562,super,83
563,community,83
564,note,82
565,"stores,",82
566,dryer.,82
567,personal,81
568,centrally,81
569,"morgan,",81
570,kitchenette,81
571,level.,81
572,(with,81
573,"refrigerator,",81
574,zeus,81
575,wifi.,80
576,(phone,80
577,bath.,80
578,prime,80
579,subway,80
580,even,80
581,multiple,80
582,reviews,80
583,"text,",80
584,woodley,80
585,patio.,79
586,more.,79
587,keep,79
588,water,79
589,end,79
590,east,78
591,trendy,78
592,meridian,78
593,june,78
594,off-street,77
595,sleeping,77
596,offer.,77
597,"shopping,",77
598,wireless,77
599,five,77
600,ask,77
601,traveling,77
602,original,77
603,professional,76
604,lot,76
605,bikeshare,76
606,queen-sized,75
607,1/2,75
608,memory,75
609,urban,75
610,days,75
611,amazon,75
612,futon,75
613,"cozy,",75
